station,schedule_demand
0,10
1,-19
2,2
3,-1
4,0
5,53
6,2
7,0
8,0
9,-6
10,-16
11,0
12,-34
13,2
14,0
15,21
16,-25
17,4
18,0
19,51
20,-18
21,0
22,0
23,6
24,12
25,0
26,-12
27,0
28,4
29,0
30,-17
31,0
32,2
33,-49
34,-59
35,-17
36,-52
37,17
38,0
39,7
40,-13
41,0
42,0
43,9
44,-8
45,12
46,-17
47,0
48,10
49,0
50,0
51,0
52,0
53,0
54,0
55,13
56,0
57,-3
58,0
59,0
60,0
61,-4
62,15
63,-4
64,0
65,0
66,-14
67,-6
68,0
69,45
70,-1
71,0
72,-13
73,9
74,0
75,-4
76,24
77,0
78,0
79,31
80,0
81,-31
82,-33
83,-16
84,0
85,0
86,0
87,2
88,-4
89,0
90,31
91,0
92,0
93,0
94,0
95,14
96,0
97,-40
98,-28
99,14
100,0
101,-18
102,0
103,0
104,0
105,37
106,-15
107,8
108,0
109,6
110,0
111,0
112,0
113,20
114,-19
115,2
116,6
117,0
118,32
119,7
120,0
121,0
122,0
123,15
124,31
125,79
126,-12
127,0
128,-31
129,0
130,-12
131,20
132,6
133,0
134,9
135,0
136,0
137,-34
138,0
139,0
140,0
141,6
142,0
143,0
144,3
145,0
146,-3
147,0
148,0
149,2
150,4
151,0
152,-24
153,0
154,0
155,29
156,-15
157,0
158,14
159,14
160,-21
161,20
162,-23
163,-44
164,-29
165,-5
166,-30
167,12
168,13
169,0
170,0
171,-27
172,0
173,-25
174,-5
175,11
176,-19
177,0
178,1
179,0
180,0
181,56
182,-12
183,2
184,2
185,0
186,-14
187,-30
188,26
189,59
190,8
191,-16
192,6
193,0
194,39
195,0
196,0
197,7
198,-27
199,0
200,0
201,6
202,0
203,0
204,0
205,0
206,-38
207,-14
208,0
209,5
210,-32
211,-21
212,0
213,-2
214,34
215,0
216,0
217,-2
218,18
219,20
220,-28
221,2
222,42
223,-24
224,41
225,13
226,-5
227,-12
228,11
229,0
230,-4
231,11
232,17
233,12
234,-25
235,0
236,0
237,-24
238,0
239,18
240,-1
241,4
242,0
243,0
244,-19
245,0
246,0
247,-22
248,0
249,-30
250,60
251,0
252,0
253,-39
254,-17
255,0
256,18
257,5
258,-57
259,27
260,0
261,40
262,0
263,0
264,19
265,31
266,17
267,-20
268,8
269,0
270,0
271,0
272,-33
273,0
274,11
275,39
276,0
277,6
278,-8
279,8
280,29
281,-32
282,0
283,-11
284,-15
285,0
286,14
287,0
288,0
289,0
290,0
291,13
292,0
293,0
294,0
295,0
296,0
297,0
298,-11
299,0
